Csse Covid-19 countries;Country or area;Population(1 July 2019)
Malaysia;Malaysia;31949777
Maldives;Maldives;530953
;Mali;19658031
Malta;Malta;440372
;Marshall Islands;58791
Martinique;Martinique;375554
Mauritania;Mauritania;4525696
Mauritius;Mauritius;1198575
;Mayotte;266150
Mexico;Mexico;127575529
Moldova;Moldova;4043263
Monaco;Monaco;38964
Mongolia;Mongolia;3225167
Montenegro;Montenegro;627987
;Montserrat;4989
Morocco;Morocco;36471769
Mozambique;Mozambique;30366036
;Myanmar;54045420
Namibia;Namibia;2494530
;Nauru;10756
Nepal;Nepal;28608710
Netherlands;Netherlands;17097130
;New Caledonia;282750
New Zealand;New Zealand;4783063
Nicaragua;Nicaragua;6545502
Niger;Niger;23310715
Nigeria;Nigeria;200963599
;Niue;1615
North Macedonia;North Macedonia;2083459
;Northern Mariana Islands;56188
Norway;Norway;5378857
Oman;Oman;4974986
Pakistan;Pakistan;216565318
;Palau;18008
;Palestine;4981420
Panama;Panama;4246439
Papua New Guinea;Papua New Guinea;8776109
Paraguay;Paraguay;7044636
Peru;Peru;32510453
Philippines;Philippines;108116615
Poland;Poland;37887768
Portugal;Portugal;10226187
;Puerto Rico;2933408
;South Sudan;11062113
Qatar;Qatar;2832067
;Réunion;888927
Romania;Romania;19364557
Russia;Russia;145872256
Rwanda;Rwanda;12626950
;Saint Helena, Ascension and Tristan da Cunha;6059
;Saint Kitts and Nevis;52823
Saint Lucia;Saint Lucia;182790
;Saint Pierre and Miquelon;5822
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;110589
;Samoa;197097
San Marino;San Marino;33860
Saudi Arabia;;
Senegal;Senegal;16296364
Serbia;Serbia;8772235
Seychelles;Seychelles;97739
;Sierra Leone;7813215
Singapore;Singapore;5804337
;Sint Maarten;42388
Slovakia;Slovakia;5457013
Slovenia;Slovenia;2078654
;Solomon Islands;669823
Somalia;Somalia;15442905
South Africa;South Africa;58558270
Spain;Spain;46736776
Sri Lanka;Sri Lanka;21323733
Sudan;Sudan;42813238
Suriname;Suriname;581372
Sweden;Sweden;10036379
Switzerland;Switzerland;8591365
Syria;Syria;17070135
;São Tomé and Príncipe;215056
Taiwan*;Taiwan;23773876
;Tajikistan;9321018
Tanzania;Tanzania;58005463
Thailand;Thailand;69037513
Timor-Leste;;
Togo;Togo;8082366
;Tokelau;1340
;Tonga;110940
Trinidad and Tobago;Trinidad and Tobago;1394973
Tunisia;Tunisia;11694719
Turkey;Turkey;83429615
;Turkmenistan;5942089
;Turks and Caicos Islands;38191
;Tuvalu;11646
US;United States;329064917
;U.S. Virgin Islands;104578
Uganda;Uganda;44269594
Ukraine;Ukraine;43993638
United Arab Emirates;United Arab Emirates;9770529
United Kingdom;United Kingdom;67530172
Uruguay;Uruguay;3461734
Uzbekistan;Uzbekistan;32981716
;Vanuatu;299882
;Vatican City;799
Venezuela;Venezuela;28515829
Vietnam;Vietnam;96462106
;Wallis and Futuna;11432
;Western Sahara;582463
;World;7713468100
;Yemen;29161922
Zambia;Zambia;17861030
Zimbabwe;Zimbabwe;14645468
